id;title;artist;type;isrc;recording_duration;recording_cyear_cline;recording_pyear_pline;recording_main_genre;recording_main_genre_sub;recording_alternative_genre;recording_alternative_genre_sub;recording_master_owner;recording_year_recording;recording_location;recording_label_country;recording_bpm;recording_publishers;recording_label_copy;recording_additional_label_copy;recording_description;recording_tag_words;recording_suggested_uses;musicalworks_type_of_work;musicalworks_version_type;musicalworks_duration;musicalworks_language;musicalworks_creation_date;musicalworks_publication_date;musicalworks_registration_number;musicalworks_registration_date;musicalworks_uncleared_sample;musicalworks_controlled;musicalworks_related_isrcs;musicalworks_notes;musicalworks_territory;musicalworks_crc_publisher;musicalworks_administrator;musicalworks_sub_publisher;musicalworks_income_collector;musicalworks_territories;merch_item_type;merch_part_number;merch_season_year;merch_related_tour_artist;merch_manufacturer_supplier;merch_brand;merch_limited_edition;merch_collectors_edition;merch_out_of_print;merch_tour_merch;merch_item_description
1;Washington;Research;RECORDING;Dynamic withdrawal;multimedia;Internal Mouse;holistic Borders;regional Shoes;optical functionalities Ohio;Cross-group Direct Bolivia;Dynamic capability;Small Toys capacitor;Nepal;flexibility Cambridgeshire;Dale Visionary;TCP;XSS;Investment Senior;invoice Automotive;deposit;Sandwich;Bedfordshire solid index;auxiliary Cambridgeshire Borders;Soft Wooden;Refined;Platinum;2022-12-12;2022-12-12;Cambridgeshire;2022-12-12;false;true;Functionality lime;Virginia Rue HDD;Internal Intelligent bandwidth-monitored;systemic indexing;enable Facilitator Producer;Markets orchid Cambridgeshire;Music;Savings connecting Lek;Loan distributed;functionalities solutions Auto;Mall Communications;Fantastic benchmark;Peso;District;true;false;true;true;Pants Handmade
2;ability redundant;Stream;MERCHANDISE;Monitored calculating Manors;back Concrete;Identity;Dynamic;fuchsia override Shilling;program Global Security;solid Unbranded invoice;withdrawal;magenta;Denar;Money Gorgeous Borders;Street Alaska Graphical;navigate red;bandwidth 1080p Response;target payment Lari;e-services;sexy Sleek;tan Account;invoice real-time;Handcrafted;Dominican Identity Chicken;Intelligent;granular Soft;2022-12-12;2022-12-12;Tasty Guadeloupe;2022-12-12;false;false;Street IB Row;Iraqi;override envisioneer;Group;withdrawal withdrawal;Pennsylvania maximized Dynamic;Tuna Junction blue;Industrial Cheese;integrate;solutions expedite;International generating system-worthy;Tunisian;Forest Chair Cordoba;port collaborative;true;true;true;false;Rubber Books
3;web-enabled bypassing open;Dynamic;RECORDING;payment blue Movies;national;dynamic Steel;Mall hard customized;Tools firewall initiatives;hacking mobile;e-services incentivize;Account Sports;Handcrafted;Green Bedfordshire;synthesize Investor invoice;Wooden Bacon driver;Assurance functionalities Missouri;Dynamic Keyboard;Views Incredible strategic;Unbranded payment;Buckinghamshire program;SSL Lead Concrete;Refined Marketing turquoise;Integration Samoa;Generic conglomeration;networks Palladium;Tuvalu Wooden Qatari;2022-12-11;2022-12-12;open-source;2022-12-12;true;false;Granite;maroon;USB Administrator;optical;Bacon;Rufiyaa;index;plum haptic;Business-focused;Rubber Somali;Michigan Bedfordshire;Public-key Kansas Steel;Concrete programming Loan;Optimization Card;true;false;false;false;front-end
4;envisioneer Namibia eyeballs;Borders orange International;MUSICALWORKS;Supervisor cultivate;disintermediate Ruble;collaboration Integrated Representative;networks Incredible;Grass-roots withdrawal;Fresh Dynamic;Account New line;Granite Tasty deposit;panel;Associate bus target;Buckinghamshire Principal withdrawal;Universal back-end;back-end Ball Progressive;calculating;ivory;Rustic;Orchestrator;Fantastic Future Operations;JBOD Iowa productize;Camp;Puerto;Soft web-enabled;RSS;2022-12-12;2022-12-12;incentivize Markets;2022-12-12;false;true;wireless deposit Borders;Computers;eyeballs bypassing withdrawal;Chicken Georgia South;withdrawal;up;action-items Account PCI;monitor web-readiness;overriding;Rwanda Alaska;COM International;engineer;invoice;24/7 Cambridgeshire;false;false;false;false;Alabama deposit Optimization
5;SSL optical systems;Wooden Handcrafted Account;MUSICALWORKS;cross-platform;Vista Mouse;Applications vertical;incentivize;Producer Checking;hard online;Electronics;Borders Point;Shilling;Account Cotton;Fields up;Account Loan e-markets;Avon object-oriented Ireland;Computer Ergonomic;Facilitator Wooden;Steel Dynamic;Table Keyboard;Fresh;Movies applications;unleash Identity Paradigm;Health;RAM e-markets;Brunei Leone Fresh;2022-12-12;2022-12-12;payment maximized;2022-12-12;true;true;Infrastructure Metal;database frictionless;wireless;Dollar;withdrawal;Keyboard Producer Industrial;invoice;Borders;Manager withdrawal;Fresh;open-source Missouri;full-range deposit withdrawal;magenta;open-source;true;true;false;false;Shoes circuit Refined
6;contingency Directives auxiliary;Street invoice invoice;MERCHANDISE;Group Fresh;sensor system Indiana;Associate Object-based withdrawal;generating;array;Chair;Account strategy connecting;non-volatile;Home;Metrics Tactics;Assurance sensor Maryland;Awesome seamless Sleek;Rubber;compress Personal;withdrawal Loan;Mexico Division withdrawal;infrastructure generating Sharable;Cotton Branch Fresh;Rubber;Bacon;e-tailers;needs-based;Accountability index;2022-12-12;2022-12-12;deposit Missouri Nevada;2022-12-12;true;true;Operations end-to-end Lead;migration adapter;Beauty;calculating primary;Automotive indigo;RSS;Rubber orange Legacy;calculating;SMTP Response product;See Buckinghamshire e-markets;Frozen Stravenue;SSL Sleek Aruba;Arkansas redundant;AGP Persevering Island;true;true;true;false;Practical Wooden Spring
7;Director modular;emulation;MUSICALWORKS;Tools Berkshire Administrator;Fish services;parse;Accountability THX;overriding compress;real-time;Fords;Nuevo withdrawal;infomediaries deposit architecture;brand Chair Oval;hacking Dynamic Alaska;Bedfordshire;Centralized connect Sausages;Virginia Planner;Assimilated Clothing pink;cross-media Oklahoma navigate;JSON Implementation homogeneous;primary Account Tasty;strategy Balanced Kentucky;Strategist Personal Pike;THX Prairie Cheese;Rubber Rapid Franc;Representative;2022-12-12;2022-12-12;Intranet grey up;2022-12-12;true;false;Money Sleek National;Rustic Practical Internal;Strategist Nevada Handcrafted;Unbranded;Ouguiya calculate payment;Mobility;vertical system Administrator;RSS;enable;Awesome Investment;Course Village Sterling;deposit Chair;Investment Mouse;multi-byte Sudan SQL;false;true;false;true;XML optical Shoes
8;Bedfordshire Internal;Trace Locks Security;RECORDING;Hills;Bedfordshire;revolutionize olive leverage;Cloned robust;Legacy Persevering;deposit parse back-end;Bedfordshire non-volatile overriding;Legacy withdrawal withdrawal;indexing eco-centric;Orchestrator Assimilated;Computer;Brand;up FTP;foreground Books;bandwidth Bacon;Loan;streamline Reactive;secondary Optimization Bike;compressing;Clothing;neutral morph;withdrawal;Namibia application Berkshire;2022-12-12;2022-12-12;bus Grass-roots Shirt;2022-12-12;true;false;Home Hat;incentivize Leone Iraqi;Checking Corporate;digital Plastic;quantify;array Belarus;Chips hacking Shirt;Sleek structure;infomediaries Pula Kroon;Tools;Islands Group Nevada;models SMTP Beauty;monitor;(Bouvetoya) Director Namibia;false;true;false;true;Nakfa Gorgeous card
9;Frozen project Auto;Plastic Integration Buckinghamshire;MUSICALWORKS;maximize pricing;programming;alliance;Pound Tunisia Southern;Berkshire;Awesome;SQL back-end proactive;Soft Tuna Czech;cross-platform;morph e-business;View program;Nicaragua Roads;Liaison Cambridgeshire paradigms;Configuration Enterprise-wide back;seamless transmitter driver;Kids Soap;Fresh Wooden withdrawal;array SSL;Proactive Soap;Architect asynchronous;pricing vertical;Nebraska Legacy;index Buckinghamshire;2022-12-12;2022-12-12;blockchains;2022-12-12;false;false;capacitor input;bypassing vertical Garden;Chicken;compressing Interactions;XSS user-centric Maine;Shoes Wisconsin;Via Alabama SMS;Mobility methodology;application;Incredible;Ergonomic stable;bluetooth Human;Texas;Serbia coherent Shirt;false;false;true;false;Forward Distributed Sports
10;user-facing;up feed Liberian;RECORDING;Licensed Saudi;Business-focused San;Reverse-engineered bypassing;interface Account;Bedfordshire Chair;Accountability Sausages;THX Research;granular Future;Generic deposit Loan;Bypass;Fiji artificial;deposit gold;Loan morph Automotive;IB Wooden;Table Lebanon;Granite Automated application;Music hacking Table;deposit Soft SCSI;optical Triple-buffered paradigms;panel;parse Kansas tan;parsing Future Money;Divide Pants;2022-12-12;2022-12-12;JBOD parsing;2022-12-12;true;true;Consultant Ergonomic Computers;Bedfordshire;California Bulgaria;Executive paradigm;interactive generate Music;lavender;optical;Representative Ohio;Solutions;B2C Ergonomic synergize;hub content-based Minor;Toys;overriding payment;Practical;false;true;true;true;Monitored area
