id;catalog_number;release_date;title;version;artist;label;status;type;media_type;format
1;Incredible Baby bifurcated;2022-12-12;application;generating Planner copying;connect;Chief;ACTIVE;ALBUM;CD;DIGITAL
2;RSS;2022-12-12;Consultant Supervisor;Granite Vermont Program;Cotton Rubber;overriding;ACTIVE;TRACK;CD;PHYSICAL
3;Bulgarian invoice;2022-12-12;optimize Guarani;invoice compressing;Avon Massachusetts directional;transparent Missouri Tuna;ACTIVE;ALBUM;VINYL;PHYSICAL
4;navigate;2022-12-12;Argentina conglomeration hacking;Franc Metrics;Bhutan Samoa Practical;Berkshire;ACTIVE;SINGLE;CD;PHYSICAL
5;engineer;2022-12-12;functionalities Kids Berkshire;COM Loan;primary Dominica;CSS;ACTIVE;TRACK;VINYL;PHYSICAL
6;Research Central Courts;2022-12-12;Switzerland Shirt;archive;withdrawal Mountain;AI;ACTIVE;ALBUM;VINYL;PHYSICAL
7;Metal Functionality;2022-12-12;generate;Berkshire;success client-server;Cotton;ACTIVE;TRACK;VINYL;PHYSICAL
8;neural Alabama transmitting;2022-12-12;bluetooth Beauty Rubber;Jamaican Sleek deposit;payment Customer-focused North;Toys Wallis;ACTIVE;SINGLE;VINYL;DIGITAL
9;RAM Infrastructure generate;2022-12-12;engage;generating;communities;Arkansas Avon Fresh;ACTIVE;ALBUM;CD;DIGITAL
10;pixel Views Franc;2022-12-12;Multi-lateral;Integration solution;synthesizing Advanced;multi-byte Money;ACTIVE;SINGLE;DIGITAL;PHYSICAL
